Serial Number,Question,A,B,C,D,Answer,Answer,Appropriateness,Difficulty,Check,Notes,Overall Topic A,Sub Topic A,Overall Topic B,Sub Topic B,Overall Topic C,Sub Topic C,Overall Topic D,Sub Topic D,Overall Topic E,Sub Topic E,Combined Topics,Combined Sub Topics,Hint,Explanation,,,Old Question,Old A,Old B,Old C,Old D
Q000011,What is the remainder on dividing the polynomial \(3x^3 - 2x^2 - 7x + 4\) by \(x-4\)?,\(10\),\(62\),\(-10\),\(136\),D,D,6,4,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,What is the remainder on dividing the polynomial 3x^3 - 2x^2 - 7x + 4 by x-4?,10,62,-10,136
Q000012,What is the remainder on dividing the polynomial \(4x^5 - 7x^4 - 9x^3 + 12x^2 - 11x + 2\) by \(x-1\)?,\(-1\),\(-9\),\(2\),\(3\),B,B,6,4,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,What is the remainder on dividing the polynomial 4x^5 - 7x^4 - 9x^3 + 12x^2 - 11x + 2 by x-1?,-1,-9,2,3
Q000013,What is the remainder on dividing the polynomial \(6x^3 - 5x^2 + 4x - 1\) by \(x+2\)?,\(-4\),\(4\),\(-2\),\(-77\),D,D,6,4,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,What is the remainder on dividing the polynomial 6x^3 - 5x^2 + 4x - 1 by x+2?,-4,4,-2,-77
Q000014,What is the remainder on dividing the polynomial \(2x^4 + 3x^3 - 5x^2 + 2x + 1\) by \(x-3\)?,\(-50\),\(-34\),\(205\),\(34\),C,C,6,4,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,What is the remainder on dividing the polynomial 2x^4 + 3x^3 - 5x^2 + 2x + 1 by x-3?,-50,-34,205,34
Q000015,What is the remainder on dividing the polynomial \(5x^6 - 3x^4 + 6x^3 - 2x^2 + 7x - 1\) by \(x^2 - 2x + 1\)?,\(39x+28\),\(39x-27\),\(40x-27\),\(40x-28\),B,B,6,5,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,What is the remainder on dividing the polynomial 5x^6 - 3x^4 + 6x^3 - 2x^2 + 7x - 1 by x^2 - 2x + 1?,39x+28,39x-27,40x-27,40x-28
Q000016,What is the remainder on dividing the polynomial \(3x^4 - 4x^3 + 5x^2 - 6x + 7\) by \(x^2 + 2x - 3\)?,\(104x-110\),\(-104x+109\),\(104x+109\),\(104x-109\),B,B,6,5,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,What is the remainder on dividing the polynomial 3x^4 - 4x^3 + 5x^2 - 6x + 7 by x^2 + 2x - 3?,104x-110,-104x+109,104x+109,104x-109
Q000017,What is the remainder on dividing the polynomial \(x^7 - x^6 + 2x^5 - 2x^4 + 3x^3 - 3x^2 + 4x - 4\) by \(x^3 - x^2 - 6x + 6\)?,\(20x-310\),\(10x+310\),\(310x+310\),\(310x-310\),D,D,6,5,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,What is the remainder on dividing the polynomial x^7 - x^6 + 2x^5 - 2x^4 + 3x^3 - 3x^2 + 4x - 4 by x^3 - x^2 - 6x + 6?,20x-310,10x+310,310x+310,310x-310
Q000018,What is the remainder on dividing the polynomial \(4x^6 - 3x^4 + 5x^3 - 7x^2 + 8x - 9\) by \(2x^2 - 3x\)?,\(2x + 1\),\(29x-9\),\(29x+9\),\(30x+9\),B,B,6,5,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,What is the remainder on dividing the polynomial 4x^6 - 3x^4 + 5x^3 - 7x^2 + 8x - 9 by 2x^2 - 3x?,2x + 1,29x-9,29x+9,30x+9
Q000019,"If \(x + 2\) is a factor of \(x^3 + 3x^2 + px + 2\), what is the value of \(p\)?",\(6\),\(3\),\(-6\),\(-3\),B,B,6,6,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,"If x + 2 is a factor of x^3 + 3x^2 + px + 2, what is the value of p?",A) 6,B) 3,C) -6,D) -3
Q000020,"If \(x + 1\) is a factor of \(x^3 - 2x^2 + px - 2\), what is the value of \(p\)?",\(0\),\(-1\),\(-5\),\(1\),C,C,6,6,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,"If x + 1 is a factor of x^3 - 2x^2 + px - 2, what is the value of p?",A) 0,B) -1,C) -5,D) 1
Q000021,"If \(x - 2\) is a factor of \(x^3 - 2x^2 + px - 8\), what is the value of \(p\)?",\(-8\),\(8\),\(6\),\(4\),D,D,6,6,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,"If x - 2 is a factor of x^3 - 2x^2 + px - 8, what is the value of p?",A) -8,B) 8,C) 6,D) 4
Q000022,"If \(x + 3\) is a factor of \(x^3 + 3x^2 + px + 9\), what is the value of \(p\)?",\(-9\),\(9\),\(3\),\(6\),C,C,6,6,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,"If x + 3 is a factor of x^3 + 3x^2 + px + 9, what is the value of p?",A) -9,B) 9,C) 3,D) 6
Q000023,"If \(x - 5\) is a factor of \(x^3 - 11x^2 + px - 75\), what is the value of \(p\)?",\(290\),\(45\),\(-290\),\(-180\),B,B,6,6,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,"If x - 5 is a factor of x^3 - 11x^2 + px - 75, what is the value of p?",A) 290,B) 45,C) -290,D) -180
Q000024,"If \(x + 2\) is a factor of \(x^3 + 2x^2 + px + 4\), what is the value of \(p\)?",\(2\),\(8\),\(-4\),\(4\),A,A,6,6,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,"If x + 2 is a factor of x^3 + 2x^2 + px + 4, what is the value of p?",A) 2,B) 8,C) -4,D) 4
Q000025,"If \(x - 1\) is a factor of \(x^4 - 4x^3 + px^2 - 4\), what is the value of \(p\)?",\(4\),\(0\),\(8\),\(7\),D,D,6,6,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,"If x - 1 is a factor of x^4 - 4x^3 + px^2 - 4, what is the value of p?",A) 4,B) 0,C) 8,D) 7
Q000026,"If \(x - 3\) is a factor of \(x^4 - 3x^3 + px^2 - 9\), what is the value of \(p\)?",\(-9\),\(9\),\(12\),\(1\),D,D,6,6,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,"If x - 3 is a factor of x^4 - 3x^3 + px^2 - 9, what is the value of p?",A) -9,B) 9,C) 12,D) 1
Q000027,"If \(x + 1\) is a factor of \(x^4 + 4x^3 + px^2 + 4\), what is the value of \(p\)?",\(-4\),\(4\),\(-1\),\(8\),C,C,6,6,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,"If x + 1 is a factor of x^4 + 4x^3 + px^2 + 4, what is the value of p?",A) -4,B) 4,C) -1,D) 8
Q000028,"If \(x - 2\) is a factor of \(x^4 - 5x^3 + px^2 - 10x + 12\), what is the value of \(p\)?",\(8\),\(-2\),\(5\),\(-5\),A,A,6,6,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,"If x - 2 is a factor of x^4 - 5x^3 + px^2 - 10x + 12, what is the value of p?",A) 8,B) -2,C) 5,D) -5
Q000029,"If \(x - 2\) is a factor of \(x^3 - 3x^2 + px - 2\), what is the value of \(p\)?",\(3\),\(-4\),\(4\),\(8\),A,A,6,6,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,"If x - 2 is a factor of x^3 - 3x^2 + px - 2, what is the value of p?",A) 3,B) -4,C) 4,D) 8
Q000030,"If \(x + 1\) is a factor of \(x^3 - 2x^2 + px - 1\), what is the value of \(p\)?",\(-\frac{1}{2}\),\(-1\),\(1\),\(-4\),D,D,6,6,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,"If x + 1 is a factor of x^3 - 2x^2 + px - 1, what is the value of p?",A) -1/2,B) -1,C) 1,D) -4
Q000031,"If \(x + 2\) is a factor of \(x^4 - 5x^3 + 9x^2 + px + 4\), what is the value of \(p\)?",\(-18\),\(18\),\(48\),\(26\),C,C,6,6,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,"If x + 2 is a factor of x^4 - 5x^3 + 9x^2 + px + 4, what is the value of p?",A) -18,B) 18,C) 48,D) 26
Q000032,"If \(x - 3\) is a factor of \(x^4 - 6x^3 + px^2 + 9\), what is the value of \(p\)?",\(-6\),\(8\),\(6\),\(9\),B,B,6,6,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,"If x - 3 is a factor of x^4 - 6x^3 + px^2 + 9, what is the value of p?",A) -6,B) 8,C) 6,D) 9
Q000033,"If \(x - 4\) is a factor of \(x^5 - 2x^4 + 6x^3 + px^2 - 4x + 16\), what is the value of \(p\)?",\(28\),\(-28\),\(-30\),\(-56\),D,D,6,6,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,"If x - 4 is a factor of x^5 - 2x^4 + 6x^3 + px^2 - 4x + 16, what is the value of p?",A) 28,B) -28,C) -30,D) -56
Q000034,"If \(x - 2\) is a factor of \(x^5 - 2x^4 + 6x^3 + px^2 - 2x + 4\), what is the value of \(p\)?",\(18\),\(-18\),\(-12\),\(20\),C,C,6,6,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,"If x - 2 is a factor of x^5 - 2x^4 + 6x^3 + px^2 - 2x + 4, what is the value of p?",A) 18,B) -18,C) -12,D) 20
Q000035,"If \(x + 1\) is a factor of \(x^6 + x^5 - 3x^4 - 3x^3 + px^2 + 2x + 2\), what is the value of \(p\)?",\(-6\),\(6\),\(0\),\(8\),C,C,6,7,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,"If x + 1 is a factor of x^6 + x^5 - 3x^4 - 3x^3 + px^2 + 2x + 2, what is the value of p?",A) -6,B) 6,C) 0,D) 8
Q000036,"If \(x - 3\) is a factor of \(x^6 - 5x^5 + 9x^4 + px^2 - 4\), what is the value of \(p\)?",\(26\),\(-\frac{239}{9}\),\(-18\),\(18\),B,B,6,7,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,"If x - 3 is a factor of x^6 - 5x^5 + 9x^4 + px^2 - 4, what is the value of p?",A) 26,B) -239/9,C) -18,D) 18
Q000037,"If \(x - 4\) is a factor of \(x^7 - 2x^6 + 6x^5 + px^4 - 4x^2 + 16x - 16\), what is the value of \(p\)?",\(-52\),\(52\),\(-\frac{895}{16}\),\(50\),C,C,6,7,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,"If x - 4 is a factor of x^7 - 2x^6 + 6x^5 + px^4 - 4x^2 + 16x - 16, what is the value of p?",A) -52,B) 52,C) -895/16,D) 50
Q000038,"If \(x + 2\) is a factor of \(x^7 - x^6 - 4x^5 - 4x^4 + px^3 + 4x^2 + 4x - 16\), what is the value of \(p\)?",\(-32\),\(32\),\(-28\),\(-17\),D,D,6,7,yes,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,,,,,Algebra and Functions,Algebra and Functions - Algebraic Division,,,,,"If x + 2 is a factor of x^7 - x^6 - 4x^5 - 4x^4 + px^3 + 4x^2 + 4x - 16, what is the value of p?",A) -32,B) 32,C) -28,D) -17
Q000039,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=x^2 −3x+5\)","\(y = 2\) at \(x = 1\), maximum","\(y = \frac{11}{4}\) at \(x = \frac{3}{2}\), minimum","\(y = \frac{45}{4}\) at \(x = -1\), maximum","\(y = \frac{50}{3}\) at \(x = 0\), minimum",B,B,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=x^2 −3x+5","A. y = 2 at x = 1, maximum","B. y = 11/4 at x = 3/2, minimum","C. y = 45/4 at x = -1, maximum","D. y = 50/3 at x = 0, minimum"
Q000040,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=x^2 −4x+6\)","\(y = 3\) at \(x = 2\), maximum","\(y = 4\) at \(x = 1\), minimum","\(y = 7\) at \(x = -1\), maximum","\(y = 2\) at \(x = 2\), minimum",D,D,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=x^2 −4x+6","A. y = 3 at x = 2, maximum","B. y = 4 at x = 1, minimum","C. y = 7 at x = -1, maximum","D. y = 2 at x = 2, minimum"
Q000041,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=x^2 −5x+9\)","\(y = 7\) at \(x = 3\), maximum","\(y = \frac{11}{4}\) at \(x = \frac{5}{2}\), minimum","\(y = 4\) at \(x = -1\), maximum","\(y = 8\) at \(x = 4\), minimum",B,B,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=x^2 −5x+9","A. y = 7 at x = 3, maximum","B. y = 11/4 at x = 5/2, minimum","C. y = 4 at x = -1, maximum","D. y = 8 at x = 4, minimum"
Q000042,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=x^2 −6x+11\)","\(y = 10\) at \(x = 3\), maximum","\(y = 11\) at \(x = 2\), minimum","\(y = 9\) at \(x = -1\), maximum","\(y = 2\) at \(x = 3\), minimum",D,D,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=x^2 −6x+11","A. y = 10 at x = 3, maximum","B. y = 11 at x = 2, minimum","C. y = 9 at x = -1, maximum","D. y = 2 at x = 3, minimum"
Q000043,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=x^2 −2x+3\)","\(y = 1\) at \(x = 1\), maximum","\(y = 2\) at \(x = 1\), minimum","\(y = 3\) at \(x = -1\), maximum","\(y = 4\) at \(x = 2\), minimum",B,B,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=x^2 −2x+3","A. y = 1 at x = 1, maximum","B. y = 2 at x = 1, minimum","C. y = 3 at x = -1, maximum","D. y = 4 at x = 2, minimum"
Q000044,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=x^2 −4x+7\)","\(y = 5\) at \(x = 1\), maximum","\(y = 6\) at \(x = 2\), minimum","\(y = 9\) at \(x = -1\), maximum","\(y = 3\) at \(x = 2\), minimum",D,D,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=x^2 −4x+7","A. y = 5 at x = 1, maximum","B. y = 6 at x = 2, minimum","C. y = 9 at x = -1, maximum","D. y = 3 at x = 2, minimum"
Q000045,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=x^2 −3x+2\)","\(y = 1\) at \(x = 1\), maximum","\(y = 2\) at \(x = 0\), minimum","\(y = 3\) at \(x = -1\), maximum","\(y = -\frac{1}{4}\) at \(x = \frac{3}{2}\), minimum",D,D,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=x^2 −3x+2","A. y = 1 at x = 1, maximum","B. y = 2 at x = 0, minimum","C. y = 3 at x = -1, maximum","D. y = -1/4 at x = 3/2, minimum"
Q000046,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=x^2 −5x+6\)","\(y = 3\) at \(x = 2\), maximum","\(y = -\frac{1}{4}\) at \(x = \frac{5}{2}\), minimum","\(y = 7\) at \(x = -1\), maximum","\(y = 5\) at \(x = 3\), minimum",B,B,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=x^2 −5x+6","A. y = 3 at x = 2, maximum","B. y = -1/4 at x = 5/2, minimum","C. y = 7 at x = -1, maximum","D. y = 5 at x = 3, minimum"
Q000047,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=x^2 −6x+9\)","\(y = 9\) at \(x = 3\), maximum","\(y = 9\) at \(x = 3\), minimum","\(y = 6\) at \(x = 1\), maximum","\(y = 0\) at \(x = 3\), minimum",D,D,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=x^2 −6x+9","A. y = 9 at x = 3, maximum","B. y = 9 at x = 3, minimum","C. y = 6 at x = 1, maximum","D. y = 0 at x = 3, minimum"
Q000048,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=x^2 −7x+12\)","\(y = 7\) at \(x = 3\), maximum","\(y = -\frac{1}{4}\) at \(x = \frac{7}{2}\), minimum","\(y = 8\) at \(x = -1\), maximum","\(y = 6\) at \(x = 4\), minimum",B,B,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=x^2 −7x+12","A. y = 7 at x = 3, maximum","B. y = -1/4 at x = 7/2, minimum","C. y = 8 at x = -1, maximum","D. y = 6 at x = 4, minimum"
Q000049,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=2x^2 +8x+5\)","\(y = 3\) at \(x = -2\), minimum","\(y = 6\) at \(x = -1\), minimum","\(y = -1\) at \(x = 2\), minimum","\(y = -3\) at \(x = -2\), minimum",D,D,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=2x^2 +8x+5","A. y = 3 at x = -2, minimum","B. y = 6 at x = -1, minimum","C. y = -1 at x = 2, minimum","D. y = -3 at x = -2, minimum"
Q000050,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=2x^2 +6x+4\)","\(y = 4\) at \(x = -1\), minimum","\(y = -\frac{1}{2}\) at \(x = -\frac{3}{2}\), minimum","\(y = 8\) at \(x = -2\), minimum","\(y = 6\) at \(x = 2\), minimum",B,B,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=2x^2 +6x+4","A. y = 4 at x = -1, minimum","B. y = -1/2 at x = -3/2, minimum","C. y = 8 at x = -2, minimum","D. y = 6 at x = 2, minimum"
